iter	Passed	Remaining
250	551	1645
251	552	1640
252	553	1634
253	555	1632
254	557	1629
255	559	1626
256	561	1623
257	563	1620
258	564	1616
259	567	1615
260	568	1610
261	570	1605
262	571	1600
263	573	1598
264	574	1594
265	576	1590
266	577	1586
267	578	1581
268	580	1576
269	581	1571
270	582	1566
271	584	1563
272	585	1558
273	586	1554
274	588	1551
275	590	1549
276	592	1546
277	594	1544
278	596	1542
279	598	1539
280	600	1536
281	602	1534
282	604	1532
283	607	1532
284	610	1530
285	612	1530
286	615	1528
287	616	1524
288	618	1520
289	619	1516
290	620	1512
291	622	1508
292	623	1504
293	624	1500
294	626	1496
295	627	1492
296	628	1488
297	630	1484
298	631	1480
299	633	1478
300	635	1476
301	637	1473
302	638	1469
303	641	1469
304	644	1467
305	646	1465
306	647	1461
307	650	1460
308	652	1458
309	654	1456
310	656	1454
311	658	1452
312	660	1449
313	663	1448
314	664	1444
315	665	1440
316	667	1437
317	668	1433
318	669	1429
319	671	1426
320	672	1422
321	673	1418
322	675	1414
323	676	1411
324	677	1407
325	679	1404
326	680	1401
327	682	1398
328	683	1394
329	685	1391
330	686	1387
331	687	1384
332	689	1380
333	690	1377
334	691	1373
335	693	1369
336	694	1366
337	695	1362
338	697	1359
339	698	1355
340	699	1352
341	701	1348
342	702	1345
343	703	1341
344	705	1338
345	706	1335
346	707	1331
347	709	1329
348	710	1325
349	712	1322
350	713	1319
351	714	1315
352	717	1314
353	718	1311
354	719	1307
355	721	1304
356	722	1301
357	723	1297
358	725	1294
359	726	1291
360	727	1288
361	729	1285
362	730	1282
363	732	1279
364	733	1275
365	734	1272
366	736	1269
367	737	1266
368	738	1263
369	740	1260
370	741	1257
371	743	1254
372	745	1253
373	747	1250
374	748	1247
375	750	1244
376	751	1242
377	752	1238
378	754	1235
379	755	1233
380	757	1230
381	758	1227
382	759	1224
383	761	1221
384	762	1218
385	763	1215
386	765	1212
387	766	1208
388	767	1205
389	768	1202
390	770	1199
391	771	1197
392	773	1194
393	775	1192
394	776	1189
395	778	1187
396	779	1184
397	781	1181
398	782	1178
399	783	1175
400	785	1172
401	786	1169
402	788	1167
403	789	1165
404	791	1162
405	792	1160
406	794	1157
407	795	1154
408	797	1151
409	798	1149
410	800	1146
411	801	1143
412	803	1141
413	805	1139
414	806	1137
415	808	1134
416	809	1132
417	811	1129
418	812	1126
419	813	1123
420	815	1121
421	816	1118
422	819	1117
423	820	1114
424	821	1111
425	823	1109
426	824	1106
427	825	1103
428	827	1101
429	828	1098
430	829	1095
431	831	1092
432	832	1090
433	834	1088
434	835	1085
435	836	1082
436	838	1080
437	839	1077
438	841	1074
439	842	1072
440	843	1069
441	845	1066
442	846	1064
443	847	1061
444	849	1058
445	852	1058
446	854	1057
447	857	1056
448	858	1053
449	860	1051
450	861	1048
451	862	1045
452	864	1043
453	865	1040
454	866	1038
455	868	1036
456	870	1034
457	871	1031
458	873	1028
459	875	1027
460	878	1026
461	879	1024
462	880	1021
463	882	1019
464	884	1017
465	886	1016
466	888	1014
467	891	1012
468	893	1011
469	895	1010
470	898	1009
471	899	1006
472	901	1004
473	903	1002
474	904	1000
475	907	998
476	909	997
477	911	995
478	913	993
479	916	992
480	918	990
481	920	989
482	922	987
483	924	985
484	926	983
485	928	981
486	930	980
487	931	977
488	933	975
489	934	972
490	936	970
491	937	968
492	938	965
493	940	963
494	941	960
495	943	958
496	945	956
497	946	954
498	948	952
499	949	949
500	951	947
501	952	944
502	953	942
503	955	940
504	956	937
505	957	935
506	959	932
507	960	930
508	962	928
509	964	926
510	965	923
511	966	921
512	968	919
513	970	917
514	971	914
515	972	912
516	974	910
517	975	907
518	977	905
519	978	903
520	979	900
521	981	898
522	982	896
523	984	893
524	985	891
525	986	889
526	988	887
527	989	884
528	991	882
529	993	881
530	994	878
531	996	876
532	997	874
533	998	871
534	1000	869
535	1001	866
536	1002	864
537	1004	862
538	1005	860
539	1006	857
540	1008	855
541	1010	853
542	1011	851
543	1012	848
544	1013	846
545	1015	844
546	1016	842
547	1018	839
548	1019	837
549	1020	835
550	1022	833
551	1023	830
552	1025	828
553	1026	826
554	1027	823
555	1028	821
556	1030	819
557	1031	817
558	1032	814
559	1034	812
560	1035	810
561	1036	807
562	1037	805
563	1039	803
564	1041	801
565	1045	801
566	1047	800
567	1049	798
568	1050	795
569	1053	794
570	1054	792
571	1055	789
572	1056	787
573	1057	784
574	1058	782
575	1060	780
576	1061	777
577	1062	775
578	1063	772
579	1063	770
580	1064	767
581	1065	765
582	1066	763
583	1067	760
584	1069	758
585	1070	756
586	1071	754
587	1073	751
588	1074	749
589	1075	747
590	1076	745
591	1078	743
592	1079	741
593	1081	738
594	1082	736
595	1083	734
596	1085	732
597	1086	730
598	1088	728
599	1089	726
600	1090	723
601	1091	721
602	1093	719
603	1094	717
604	1095	715
605	1096	713
606	1098	711
607	1099	708
608	1101	706
609	1102	704
610	1103	702
611	1104	700
612	1106	698
613	1107	696
614	1108	694
615	1109	691
616	1111	689
617	1112	687
618	1113	685
619	1115	683
620	1116	681
621	1117	679
622	1119	677
623	1120	675
624	1122	673
625	1123	671
626	1124	669
627	1126	667
628	1127	664
629	1128	662
630	1130	660
631	1131	658
632	1132	656
633	1133	654
634	1135	652
635	1138	651
636	1141	650
637	1143	648
638	1145	646
639	1146	644
640	1148	643
641	1150	641
642	1152	640
643	1154	638
644	1157	636
645	1158	634
646	1160	632
647	1161	630
648	1162	628
649	1164	626
650	1165	624
651	1167	623
652	1169	621
653	1170	619
654	1172	617
655	1174	615
656	1175	613
657	1176	611
658	1177	609
659	1179	607
660	1180	605
661	1181	603
662	1183	601
663	1185	599
664	1186	597
665	1188	595
666	1189	594
667	1191	592
668	1192	589
669	1193	587
670	1195	585
671	1196	583
672	1198	582
673	1199	580
674	1200	578
675	1201	576
676	1204	574
677	1206	573
678	1209	571
679	1211	569
680	1212	567
681	1214	566
682	1215	564
683	1217	562
684	1218	560
685	1219	558
686	1221	556
687	1222	554
688	1223	552
689	1225	550
690	1227	548
691	1229	547
692	1231	545
693	1232	543
694	1234	541
695	1236	540
696	1237	538
697	1239	536
698	1240	534
699	1241	532
700	1243	530
701	1244	528
702	1246	526
703	1247	524
704	1248	522
705	1250	520
706	1251	518
707	1253	516
708	1254	514
709	1255	512
710	1257	511
711	1258	509
712	1260	507
713	1261	505
714	1263	503
715	1264	501
716	1265	499
717	1267	497
718	1268	495
719	1270	493
720	1271	491
721	1272	490
722	1274	488
723	1275	486
724	1277	484
725	1278	482
726	1279	480
727	1281	478
728	1282	476
729	1284	475
730	1285	473
731	1286	471
732	1288	469
733	1289	467
734	1291	465
735	1292	463
736	1293	461
737	1294	459
738	1296	457
739	1297	455
740	1298	453
741	1300	452
742	1301	450
743	1303	448
744	1304	446
745	1306	444
746	1308	443
747	1310	441
748	1311	439
749	1312	437
750	1314	435
751	1315	433
752	1316	431
753	1317	429
754	1319	428
755	1320	426
756	1321	424
757	1322	422
758	1324	420
759	1325	418
760	1327	417
761	1329	415
762	1330	413
763	1332	411
764	1333	409
765	1335	407
766	1337	406
767	1338	404
768	1340	402
769	1343	401
770	1344	399
771	1346	397
772	1347	395
773	1348	393
774	1350	391
775	1351	390
776	1353	388
777	1354	386
778	1356	384
779	1358	383
780	1359	381
781	1361	379
782	1362	377
783	1364	375
784	1365	373
785	1367	372
786	1368	370
787	1371	368
788	1373	367
789	1377	366
790	1380	364
791	1382	363
792	1384	361
793	1385	359
794	1387	357
795	1388	355
796	1389	354
797	1391	352
798	1392	350
799	1394	348
800	1395	346
801	1396	344
802	1398	343
803	1400	341
804	1401	339
805	1402	337
806	1403	335
807	1405	333
808	1406	332
809	1408	330
810	1409	328
811	1410	326
812	1411	324
813	1412	322
814	1414	321
815	1417	319
816	1419	317
817	1422	316
818	1424	314
819	1425	312
820	1426	311
821	1427	309
822	1428	307
823	1430	305
824	1431	303
825	1432	301
826	1434	299
827	1435	298
828	1436	296
829	1438	294
830	1439	292
831	1441	290
832	1442	289
833	1443	287
834	1444	285
835	1447	283
836	1448	282
837	1449	280
838	1451	278
839	1454	277
840	1455	275
841	1457	273
842	1459	271
843	1460	269
844	1461	268
845	1462	266
846	1464	264
847	1466	262
848	1467	261
849	1469	259
850	1472	257
851	1474	256
852	1475	254
853	1476	252
854	1478	250
855	1480	248
856	1481	247
857	1483	245
858	1485	243
859	1488	242
860	1491	240
861	1493	239
862	1495	237
863	1497	235
864	1499	234
865	1501	232
866	1503	230
867	1505	228
868	1507	227
869	1509	225
870	1511	223
871	1513	222
872	1514	220
873	1518	218
874	1520	217
875	1521	215
876	1523	213
877	1524	211
878	1527	210
879	1530	208
880	1531	206
881	1532	205
882	1533	203
883	1535	201
884	1536	199
885	1537	197
886	1539	196
887	1540	194
888	1543	192
889	1545	190
890	1546	189
891	1548	187
892	1550	185
893	1551	184
894	1553	182
895	1554	180
896	1555	178
897	1557	176
898	1558	175
899	1559	173
900	1562	171
901	1563	169
902	1564	168
903	1566	166
904	1568	164
905	1570	162
906	1572	161
907	1573	159
908	1574	157
909	1576	155
910	1578	154
911	1579	152
912	1581	150
913	1582	148
914	1583	147
915	1585	145
916	1586	143
917	1588	141
918	1590	140
919	1592	138
920	1594	136
921	1595	134
922	1596	133
923	1598	131
924	1603	129
925	1607	128
926	1611	126
927	1615	125
928	1619	123
929	1621	122
930	1628	120
931	1630	118
932	1632	117
933	1633	115
934	1634	113
935	1639	112
936	1643	110
937	1647	108
938	1650	107
939	1652	105
940	1654	103
941	1655	101
942	1656	100
943	1658	98
944	1660	96
945	1662	94
946	1665	93
947	1667	91
948	1669	89
949	1671	87
950	1673	86
951	1675	84
952	1678	82
953	1679	80
954	1680	79
955	1682	77
956	1685	75
957	1687	73
958	1690	72
959	1692	70
960	1695	68
961	1698	67
962	1700	65
963	1703	63
964	1706	61
965	1709	60
966	1712	58
967	1714	56
968	1717	54
969	1719	53
970	1722	51
971	1724	49
972	1727	47
973	1729	46
974	1731	44
975	1735	42
976	1736	40
977	1737	39
978	1739	37
979	1740	35
980	1742	33
981	1743	31
982	1744	30
983	1746	28
984	1747	26
985	1748	24
986	1750	23
987	1751	21
988	1752	19
989	1753	17
990	1756	15
991	1758	14
992	1760	12
993	1761	10
994	1764	8
995	1766	7
996	1769	5
997	1771	3
998	1774	1
999	1776	0
