iter	Logloss
0	0.6886523364
1	0.6839833786
2	0.6794429045
3	0.6751657404
4	0.6702599237
5	0.6668691319
6	0.6642704825
7	0.6607062852
8	0.6569023372
9	0.6527315675
10	0.648806818
11	0.6448114023
12	0.6415973818
13	0.6380318774
14	0.6343990749
15	0.6313433413
16	0.6277631792
17	0.6234813677
18	0.6206482656
19	0.6179281894
20	0.614168392
21	0.6110353151
22	0.6080996221
23	0.6052459141
24	0.6020014146
25	0.5992375074
26	0.5961360561
27	0.5934603346
28	0.5908525725
29	0.5883274818
30	0.5863989488
31	0.5838094426
32	0.580775533
33	0.5778541279
34	0.5755179718
35	0.5729312181
36	0.5709820612
37	0.56805166
38	0.565902151
39	0.5633366031
40	0.561633831
41	0.5594343474
42	0.5568634544
43	0.5543488344
44	0.5524566621
45	0.5506026117
46	0.548820077
47	0.5462033677
48	0.5443627953
49	0.5421220452
50	0.5402451286
51	0.5383718222
52	0.536329647
53	0.5340094346
54	0.5323291407
55	0.5301170317
56	0.5285305803
57	0.5264968031
58	0.5244452954
59	0.5223538363
60	0.5204649471
61	0.5185869165
62	0.5167214289
63	0.5151312864
64	0.5137333541
65	0.5123461149
66	0.5104717342
67	0.5086007374
68	0.5071210527
69	0.5059627933
70	0.504195977
71	0.5030753593
72	0.5015122713
73	0.5001912684
74	0.4988979062
75	0.4974051997
76	0.4964246222
77	0.4950468198
78	0.4939422884
79	0.4921435045
80	0.4912237432
81	0.4898674968
82	0.4882180344
83	0.4866432762
84	0.4848335045
85	0.4835313292
86	0.4823698804
87	0.4809624745
88	0.4796082403
89	0.4782618381
90	0.4769025898
91	0.4754198908
92	0.4743153974
93	0.4730482364
94	0.4723225732
95	0.4711191704
96	0.4697844886
97	0.468325952
98	0.4674201109
99	0.4662387974
100	0.4652654033
101	0.4638194284
102	0.4628625259
103	0.4618012154
104	0.4605616
105	0.4596613679
106	0.4584816217
107	0.4571127617
108	0.4563656366
109	0.4553907888
110	0.4544396718
111	0.4533300851
112	0.452603643
113	0.4515824913
114	0.4506666599
115	0.4498027113
116	0.4489962056
117	0.4478221131
118	0.4465764861
119	0.4458621837
120	0.4448909884
121	0.4439284555
122	0.4430136339
123	0.4418299317
124	0.4410330044
125	0.4400037927
126	0.4391301889
127	0.4381707159
128	0.437417057
129	0.4368188897
130	0.4361028386
131	0.4353800446
132	0.4344782209
133	0.4336950962
134	0.4329911144
135	0.4320772036
136	0.4315303369
137	0.4308381849
138	0.4297895411
139	0.4292225509
140	0.4283800513
141	0.427455393
142	0.4268245355
143	0.4261216478
144	0.4252396092
145	0.4244652243
146	0.4240159812
147	0.4232750635
148	0.4226510381
149	0.4217399372
150	0.4211097854
151	0.4202769231
152	0.4198264265
153	0.4191255028
154	0.4185447245
155	0.4177712513
156	0.4171102745
157	0.4163795686
158	0.4158615926
159	0.4153161317
160	0.4148911707
161	0.4143137431
162	0.4137810257
163	0.4132922938
164	0.4128383127
165	0.4121248756
166	0.4114655433
167	0.4108753751
168	0.410365661
169	0.4097876067
170	0.4092711697
171	0.4084063748
172	0.4079879387
173	0.4074872915
174	0.4070267568
175	0.4066164971
176	0.4060781257
177	0.4055387665
178	0.4051767413
179	0.4045470674
180	0.4039021491
181	0.4036179591
182	0.4029649336
183	0.4023946404
184	0.401630233
185	0.4008275519
186	0.4000796318
187	0.3995118185
188	0.3991576496
189	0.3987155872
190	0.3979827017
191	0.3976427183
192	0.3971638776
193	0.3964702325
194	0.3959982675
195	0.3955835399
196	0.3950742904
197	0.3946866781
198	0.3941496855
199	0.3937174351
200	0.3932488233
201	0.3928021766
202	0.3922337759
203	0.3917620941
204	0.391247241
205	0.3902688987
206	0.3896020016
207	0.3891151239
208	0.3888877016
209	0.3884171674
210	0.3877835574
211	0.3873725395
212	0.3868837184
213	0.3863508044
214	0.3858985133
215	0.385530729
216	0.3848986215
217	0.3843295336
218	0.3839708833
219	0.3834055989
220	0.3830763097
221	0.382629706
222	0.3821397858
223	0.3818487088
224	0.381555802
225	0.3813423518
226	0.3809797844
227	0.3806390783
228	0.3803540956
229	0.3799548047
230	0.3795030165
231	0.3791736835
232	0.3788301202
233	0.3783473264
234	0.377966284
235	0.3776451471
236	0.3772577206
237	0.3768222801
238	0.3763193662
239	0.3759605749
240	0.3754755347
241	0.3751624894
242	0.3747130505
243	0.3744066312
244	0.3739240884
245	0.3736796501
246	0.373319194
247	0.3729276334
248	0.3724131559
249	0.3721001244
250	0.3717684186
251	0.3714380483
252	0.3710547072
253	0.3707382128
254	0.3702491913
255	0.3696609667
256	0.3692711397
257	0.3689999906
258	0.3687262779
259	0.3683350762
260	0.3678209955
261	0.3675475383
262	0.3671769854
263	0.3667911653
264	0.3664995678
265	0.3659440645
266	0.365691721
267	0.3653736616
268	0.3648356228
269	0.364531969
270	0.3643124833
271	0.3640638231
272	0.3635683239
273	0.363215891
274	0.3627621548
275	0.3624611693
276	0.3620232636
277	0.3617910449
278	0.3613796566
279	0.3608555696
280	0.3606333292
281	0.3602494391
282	0.3597935965
283	0.3594921557
284	0.3593273878
285	0.3590542726
286	0.3586512404
287	0.3584061123
288	0.3580886046
289	0.3578432951
290	0.3575176003
291	0.3571302149
292	0.3567604864
293	0.3564907991
294	0.3559635821
295	0.3555476495
296	0.3552649338
297	0.354820324
298	0.3543174241
299	0.353907988
300	0.3533355765
301	0.3530928572
302	0.352862971
303	0.3526453532
304	0.3523694267
305	0.3522034431
306	0.3519599885
307	0.3517225955
308	0.3513817633
309	0.3511085409
310	0.350717924
311	0.3502550197
312	0.3499917224
313	0.3495312587
314	0.3493229153
315	0.3491596953
316	0.3488300748
317	0.3485809765
318	0.3482547194
319	0.3480250798
320	0.3479174229
321	0.3475319538
322	0.3472078765
323	0.3468393833
324	0.346216702
325	0.3459050278
326	0.3455919402
327	0.3451052195
328	0.3449015396
329	0.3447409781
330	0.3445134075
331	0.3441985699
332	0.3438371414
333	0.3435174026
334	0.3432766609
335	0.3428922533
336	0.342636296
337	0.3422364226
338	0.3419337139
339	0.3415130265
340	0.3412945545
